,Pred
1231,1
1232,0
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,0
1241,0
1242,0
1243,0
1244,0
1245,1
1246,1
1247,0
1248,1
1249,1
1250,0
1251,0
1252,0
1253,0
1254,1
1255,1
1256,1
1257,0
1258,0
1259,1
1260,1
1261,0
1262,1
1263,1
1264,0
1265,1
1266,1
1267,0
1268,0
1269,1
1270,0
1271,1
1272,1
1273,1
1274,0
1275,0
1276,0
1277,0
1278,1
1279,0
1280,1
1281,0
1282,0
1283,1
1284,1
1285,0
1286,1
1287,0
1288,0
1289,0
1290,0
1291,0
1292,1
1293,1
1294,0
1295,1
1296,1
1297,0
1298,0
1299,1
1300,1
1301,1
1302,1
1303,0
1304,1
1305,1
1306,1
1307,0
1308,0
1309,0
1310,1
1311,0
1312,0
1313,0
1314,0
1315,1
1316,0
1317,0
1318,0
1319,1
1320,0
1321,1
1322,0
1323,0
1324,0
1325,0
1326,0
1327,1
1328,0
1329,1
1330,1
1331,0
1332,0
1333,1
1334,0
1335,1
1336,1
1337,0
1338,1
1339,0
1340,0
1341,1
1342,0
1343,0
1344,0
1345,1
1346,1
1347,0
1348,0
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,0
1356,1
1357,1
1358,0
1359,0
1360,0
1361,1
1362,1
1363,0
1364,1
1365,1
1366,0
1367,1
1368,1
1369,1
1370,1
1371,1
1372,0
1373,1
1374,0
1375,1
1376,1
1377,0
1378,0
1379,0
1380,1
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,1
1388,0
1389,0
1390,0
1391,0
1392,0
1393,1
1394,0
1395,0
1396,1
1397,1
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,1
1406,0
1407,0
1408,0
1409,0
1410,1
1411,1
1412,1
1413,0
1414,0
1415,0
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,0
1423,0
1424,1
1425,0
1426,1
1427,1
1428,0
1429,1
1430,0
1431,1
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,1
1447,0
1448,0
1449,0
1450,0
1451,1
1452,0
1453,0
1454,0
1455,1
1456,1
1457,1
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,1
1465,1
1466,1
1467,0
1468,0
1469,0
1470,0
1471,1
1472,1
1473,0
1474,0
1475,0
1476,1
1477,0
1478,1
1479,0
1480,1
1481,0
1482,1
1483,0
1484,0
1485,1
1486,0
1487,0
1488,0
1489,1
1490,1
1491,0
1492,1
1493,0
1494,0
1495,0
1496,1
1497,1
1498,1
1499,0
1500,1
1501,1
1502,1
1503,1
1504,1
1505,0
1506,0
1507,1
1508,0
1509,1
1510,1
1511,1
1512,1
1513,1
1514,0
1515,0
1516,0
1517,0
1518,1
1519,1
1520,0
1521,1
1522,0
1523,1
1524,0
1525,1
1526,0
1527,0
1528,1
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,1
1536,0
1537,0
1538,1
1539,1
1540,0
1541,1
1542,0
1543,0
1544,0
1545,1
1546,1
1547,0
1548,0
1549,0
1550,1
1551,1
1552,1
1553,1
1554,1
1555,0
1556,1
1557,1
1558,0
1559,0
1560,0
1561,1
1562,1
1563,0
1564,0
1565,1
1566,0
1567,1
1568,0
1569,1
1570,1
1571,1
1572,1
1573,0
1574,1
1575,0
1576,0
1577,0
1578,0
1579,1
1580,0
1581,1
1582,1
1583,0
1584,0
1585,0
1586,1
1587,1
1588,0
1589,1
1590,0
1591,0
1592,0
1593,0
1594,1
1595,1
1596,0
1597,1
1598,1
1599,1
1600,1
1601,0
1602,0
1603,0
1604,0
1605,0
1606,1
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,1
1615,0
1616,1
1617,0
1618,0
1619,0
1620,1
1621,1
1622,0
1623,0
1624,0
1625,1
1626,1
1627,1
1628,0
1629,0
1630,1
1631,1
1632,0
1633,0
1634,1
1635,0
1636,0
1637,1
1638,1
1639,1
1640,1
1641,0
1642,0
1643,0
1644,1
1645,1
1646,1
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,1
1654,1
1655,0
1656,1
1657,1
1658,0
1659,1
1660,0
1661,0
1662,1
1663,1
1664,1
1665,0
1666,1
1667,1
1668,1
1669,0
1670,0
1671,1
1672,0
1673,0
1674,1
1675,0
1676,1
1677,1
1678,0
1679,1
1680,0
1681,1
1682,0
1683,0
1684,0
1685,0
1686,1
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,1
1695,0
1696,1
1697,0
1698,0
1699,0
1700,1
1701,0
1702,1
1703,1
1704,1
1705,1
1706,1
1707,1
1708,0
1709,0
1710,1
1711,0
1712,0
1713,1
1714,1
1715,1
1716,0
1717,0
1718,0
1719,1
1720,0
1721,0
1722,1
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,1
1732,0
1733,0
1734,0
1735,0
1736,1
1737,1
1738,1
1739,1
1740,0
1741,0
1742,1
1743,1
1744,1
1745,1
1746,0
1747,1
1748,0
1749,1
1750,0
1751,0
1752,1
1753,0
1754,0
1755,0
1756,0
1757,1
1758,1
1759,0
1760,1
1761,1
1762,1
1763,1
1764,0
1765,1
1766,0
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,0
1774,0
1775,1
1776,0
1777,0
1778,1
1779,0
1780,1
1781,1
1782,0
1783,0
1784,0
1785,0
1786,1
1787,1
1788,1
1789,1
1790,1
1791,1
1792,0
1793,0
1794,0
1795,1
1796,0
1797,1
1798,1
1799,1
1800,0
1801,1
1802,1
1803,0
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,0
1812,0
1813,1
1814,1
1815,0
1816,0
1817,1
1818,1
1819,0
1820,0
1821,1
1822,0
1823,0
1824,1
1825,0
1826,1
1827,0
1828,0
1829,1
1830,1
1831,0
1832,1
1833,1
1834,0
1835,1
1836,1
1837,0
1838,0
1839,1
1840,0
1841,1
1842,1
1843,0
1844,1
1845,1
1846,0
1847,0
1848,1
1849,1
1850,0
1851,0
1852,0
1853,0
1854,1
1855,1
1856,0
1857,1
1858,0
1859,0
1860,0
1861,1
1862,1
1863,1
1864,1
1865,0
1866,0
1867,0
1868,0
1869,0
1870,1
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,1
1884,0
1885,1
1886,1
1887,0
1888,1
1889,0
1890,1
1891,0
1892,0
1893,0
1894,0
1895,1
1896,1
1897,1
1898,0
1899,1
1900,1
1901,0
1902,1
1903,1
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,1
1911,1
1912,0
1913,0
1914,0
1915,0
1916,0
1917,1
1918,1
1919,0
1920,0
1921,1
1922,1
1923,0
1924,0
1925,1
1926,1
1927,0
1928,0
1929,0
1930,1
1931,0
1932,1
1933,0
1934,1
1935,0
1936,0
1937,1
1938,0
1939,1
1940,0
1941,0
1942,1
1943,1
1944,0
1945,0
1946,1
1947,1
1948,0
1949,1
1950,0
1951,0
1952,1
1953,1
1954,0
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,0
1962,0
1963,1
1964,1
1965,0
1966,0
1967,0
1968,1
1969,1
1970,0
1971,0
1972,1
1973,1
1974,1
1975,0
1976,0
1977,0
1978,0
1979,1
1980,0
1981,0
1982,0
1983,1
1984,1
1985,0
1986,1
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,1
1995,0
1996,0
1997,1
1998,0
1999,0
2000,0
2001,0
2002,0
2003,1
2004,0
2005,1
2006,0
2007,0
2008,1
2009,1
2010,0
2011,0
2012,1
2013,0
2014,1
2015,0
2016,0
2017,0
2018,1
2019,1
2020,0
2021,1
2022,0
2023,0
2024,1
2025,1
2026,1
2027,0
2028,0
2029,0
2030,0
2031,1
2032,0
2033,0
2034,1
2035,0
2036,1
2037,0
2038,0
2039,1
2040,0
2041,0
2042,0
2043,1
2044,0
2045,1
2046,1
2047,0
2048,0
2049,1
2050,0
2051,1
2052,0
2053,1
2054,1
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,1
2063,0
2064,0
2065,0
2066,0
2067,1
2068,0
2069,0
2070,1
2071,0
2072,1
2073,0
2074,1
2075,0
2076,1
2077,0
2078,1
2079,0
2080,1
2081,0
2082,1
2083,1
2084,0
2085,0
2086,0
2087,0
2088,0
2089,1
2090,1
2091,1
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,1
2100,1
2101,1
2102,1
2103,0
2104,0
2105,1
2106,0
2107,0
2108,0
2109,0
2110,1
2111,0
2112,1
2113,1
2114,1
2115,1
2116,0
2117,1
2118,0
2119,0
2120,1
2121,1
2122,0
2123,0
2124,1
2125,0
2126,0
2127,1
2128,0
2129,1
2130,0
2131,0
2132,1
2133,0
2134,0
2135,0
2136,0
2137,0
2138,1
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,1
2146,0
2147,0
2148,0
2149,1
2150,1
2151,0
2152,1
2153,1
2154,0
2155,0
2156,0
2157,1
2158,1
2159,0
2160,0
2161,1
2162,0
2163,0
2164,0
2165,0
2166,1
2167,1
2168,0
2169,0
2170,0
2171,1
2172,1
2173,0
2174,0
2175,1
2176,1
2177,1
2178,0
2179,0
2180,0
2181,0
2182,0
2183,1
2184,1
2185,0
2186,0
2187,1
2188,0
2189,1
2190,0
2191,0
2192,1
2193,1
2194,0
2195,0
2196,1
2197,0
2198,1
2199,1
2200,1
2201,1
2202,0
2203,1
2204,1
2205,1
2206,0
2207,0
2208,0
2209,1
2210,1
2211,1
2212,1
2213,0
2214,0
2215,1
2216,0
2217,1
2218,1
2219,0
2220,0
2221,1
2222,0
2223,1
2224,1
2225,0
2226,0
2227,1
2228,0
2229,1
2230,0
2231,0
2232,1
2233,1
2234,1
2235,0
2236,1
2237,1
2238,0
2239,1
2240,1
2241,0
2242,1
2243,1
2244,0
2245,1
2246,1
2247,1
2248,1
2249,0
2250,1
2251,0
2252,1
2253,0
2254,1
2255,1
2256,0
2257,1
2258,1
2259,0
2260,1
2261,1
2262,1
2263,0
2264,1
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,1
2272,0
2273,1
2274,0
2275,0
2276,1
2277,0
2278,0
2279,1
2280,0
2281,0
2282,1
2283,1
2284,0
2285,0
2286,1
2287,0
2288,1
2289,1
2290,0
2291,1
2292,1
2293,0
2294,1
2295,0
2296,0
2297,1
2298,0
2299,0
2300,1
2301,1
2302,0
2303,0
2304,0
2305,1
2306,1
2307,1
2308,0
2309,0
2310,1
2311,0
2312,1
2313,1
2314,1
2315,0
2316,1
2317,0
2318,1
2319,0
2320,0
2321,0
2322,1
2323,0
2324,0
2325,1
2326,0
2327,1
2328,0
2329,0
2330,1
2331,0
2332,0
2333,0
2334,0
2335,0
2336,1
2337,1
2338,0
2339,0
2340,1
2341,0
2342,0
2343,1
2344,0
2345,1
2346,0
2347,0
2348,0
2349,1
2350,1
2351,1
2352,1
2353,0
2354,1
2355,1
2356,0
2357,0
2358,1
2359,0
2360,0
2361,0
2362,1
2363,0
2364,0
2365,1
2366,1
2367,0
2368,0
2369,1
2370,1
2371,0
2372,1
2373,1
2374,0
2375,1
2376,1
2377,1
2378,0
2379,1
2380,0
2381,0
2382,1
2383,1
2384,1
2385,0
2386,0
2387,0
2388,0
2389,0
2390,1
2391,1
2392,0
2393,1
2394,0
2395,1
2396,0
2397,0
2398,1
2399,1
2400,0
2401,0
2402,1
2403,0
2404,0
2405,1
2406,1
2407,0
2408,1
2409,0
2410,1
2411,0
2412,0
2413,0
2414,1
2415,1
2416,0
2417,0
2418,1
2419,0
2420,1
2421,1
2422,0
2423,1
2424,1
2425,1
2426,0
2427,1
2428,1
2429,0
2430,1
2431,0
2432,1
2433,0
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,0
2441,0
2442,0
2443,1
2444,0
2445,1
2446,1
2447,0
2448,1
2449,1
2450,0
2451,1
2452,0
2453,0
2454,1
2455,0
2456,1
2457,1
2458,0
2459,0
2460,0
2461,1
2462,1
2463,1
2464,1
2465,1
2466,0
2467,0
2468,0
2469,0
2470,1
2471,0
2472,1
2473,0
2474,1
2475,0
2476,1
2477,1
2478,1
2479,0
2480,0
2481,1
2482,1
2483,1
2484,1
2485,1
2486,0
2487,1
2488,0
2489,1
2490,0
2491,1
2492,1
2493,0
2494,1
2495,0
2496,1
2497,1
2498,1
2499,0
2500,1
2501,0
2502,1
2503,0
2504,0
2505,0
2506,0
2507,0
2508,0
2509,0
2510,1
2511,0
2512,1
2513,0
2514,1
2515,0
2516,1
2517,0
2518,1
2519,0
2520,1
2521,1
2522,0
2523,0
2524,1
2525,0
2526,1
2527,1
2528,1
2529,0
2530,0
2531,1
2532,1
2533,0
2534,0
2535,1
2536,1
2537,1
2538,1
2539,0
2540,1
2541,0
2542,1
2543,0
2544,0
2545,1
2546,1
2547,1
2548,1
2549,0
2550,0
2551,1
2552,1
2553,0
2554,1
2555,1
2556,1
2557,1
2558,1
2559,0
2560,0
2561,0
2562,0
2563,0
2564,1
2565,0
2566,1
2567,0
2568,1
2569,1
2570,0
2571,1
2572,0
2573,0
2574,1
2575,1
2576,1
2577,1
2578,1
2579,0
2580,0
2581,0
2582,1
2583,0
2584,0
2585,0
2586,0
2587,0
2588,0
2589,1
2590,0
2591,1
2592,0
2593,1
2594,0
2595,1
2596,1
2597,0
2598,1
2599,0
2600,0
2601,0
2602,1
2603,0
2604,0
2605,1
2606,0
2607,1
2608,0
2609,0
2610,1
2611,1
2612,0
2613,1
2614,1
2615,1
2616,1
2617,0
2618,1
2619,1
2620,1
2621,0
2622,1
2623,0
2624,0
2625,0
2626,1
2627,1
2628,0
2629,1
2630,1
2631,1
2632,0
2633,0
2634,1
2635,0
2636,1
2637,1
2638,1
2639,0
2640,0
2641,1
2642,0
2643,1
2644,1
2645,1
2646,0
2647,1
2648,0
2649,1
2650,1
2651,0
2652,0
2653,0
2654,0
2655,0
2656,1
2657,0
2658,1
2659,0
2660,0
2661,1
2662,1
2663,0
2664,1
2665,0
2666,0
2667,0
2668,0
2669,0
2670,1
2671,1
2672,1
2673,1
2674,1
2675,0
2676,0
2677,1
2678,1
2679,0
2680,1
2681,1
2682,1
2683,1
2684,1
2685,0
2686,1
2687,0
2688,0
2689,0
2690,1
2691,1
2692,1
2693,1
2694,0
2695,0
2696,0
2697,0
2698,0
2699,0
2700,0
2701,1
2702,1
2703,0
2704,1
2705,0
2706,0
2707,0
2708,1
2709,1
2710,0
2711,0
2712,0
2713,1
2714,0
2715,0
2716,1
2717,1
2718,0
2719,1
2720,1
2721,1
2722,1
2723,1
2724,1
2725,1
2726,0
2727,1
2728,0
2729,0
2730,0
2731,0
2732,0
2733,1
2734,1
2735,1
2736,1
2737,1
2738,0
2739,0
2740,0
2741,1
2742,0
2743,0
2744,0
2745,0
2746,0
2747,0
2748,1
2749,0
2750,0
2751,0
2752,0
2753,0
2754,0
2755,1
2756,0
2757,0
2758,1
2759,1
2760,0
2761,0
2762,1
2763,1
2764,1
2765,0
2766,0
2767,1
2768,1
2769,0
2770,1
2771,1
2772,0
2773,1
2774,0
2775,0
2776,1
2777,0
2778,1
2779,0
2780,1
2781,0
2782,0
2783,0
2784,1
2785,1
2786,0
2787,0
2788,1
2789,0
2790,1
2791,1
2792,0
2793,0
2794,0
2795,1
2796,1
2797,0
2798,0
2799,1
2800,0
2801,1
2802,1
2803,1
2804,0
2805,0
2806,1
2807,1
2808,1
2809,0
2810,1
2811,1
2812,0
2813,0
2814,0
2815,1
2816,1
2817,0
2818,0
2819,0
2820,0
2821,0
2822,0
2823,1
2824,1
2825,1
2826,0
2827,0
2828,0
2829,1
2830,0
2831,0
2832,1
2833,0
2834,1
2835,1
2836,1
2837,0
2838,1
2839,0
2840,0
2841,0
2842,1
2843,1
2844,1
2845,1
2846,1
2847,0
2848,0
2849,1
2850,0
2851,0
2852,0
2853,1
2854,0
2855,0
2856,0
2857,0
2858,0
2859,1
2860,1
2861,1
2862,0
2863,0
2864,0
2865,0
2866,1
2867,1
2868,0
2869,1
2870,0
2871,0
2872,0
2873,0
2874,1
2875,1
2876,0
2877,1
2878,0
2879,0
2880,0
2881,0
2882,0
2883,0
2884,0
2885,0
2886,0
2887,0
2888,0
2889,1
2890,0
2891,1
2892,0
2893,1
2894,1
2895,0
2896,1
2897,0
2898,0
2899,1
2900,0
2901,1
2902,0
2903,0
2904,1
2905,1
2906,0
2907,1
2908,1
2909,0
2910,0
2911,1
2912,1
2913,1
2914,0
2915,1
2916,0
2917,1
2918,1
2919,1
2920,1
2921,1
2922,1
2923,0
2924,0
2925,0
2926,1
2927,1
2928,0
2929,1
2930,1
2931,0
2932,0
2933,0
2934,1
2935,0
2936,1
2937,1
2938,1
2939,1
2940,1
2941,0
2942,0
2943,0
2944,0
2945,0
2946,0
2947,0
2948,0
2949,1
2950,1
2951,1
2952,0
2953,0
2954,0
2955,1
2956,0
2957,0
2958,0
2959,0
2960,0
2961,0
2962,1
2963,1
2964,0
2965,0
2966,0
2967,1
2968,1
2969,0
2970,0
2971,0
2972,0
2973,0
2974,0
2975,0
2976,1
2977,1
2978,1
2979,0
2980,1
2981,0
2982,1
2983,1
2984,1
2985,0
2986,0
2987,0
2988,1
2989,0
2990,0
2991,1
2992,1
2993,1
2994,0
2995,1
2996,1
2997,0
